name,lat,lng,rating,user_ratings_total,vicinity
Mount Blue,12.9706822,77.6084358,4.3,32,"#28, Magrath Road, Ashok Nagar, Bengaluru"
ANETHA INDUSTRIAL AGENCIES,12.9641511,77.58243259999999,3.7,7,"77, Silver Jubilee Park Road, Nagarathpete, Bengaluru"
OUR STORES - BANGALORE CLUB,12.9675782,77.59715,4.5,15,"10, Sampangi Rama Nagar, Shanthala Nagar, Richmond Town, Bengaluru"
Royalmart Supermarket Richmond Town,12.9629403,77.6031397,4.1,2119,"Madni Emrara, 18/1, Alexander Street, Richmond Town, Bengaluru"
Hussaini Hydro HO- Festo pneumatics,12.9647506,77.581448,4.3,12,"60, Sadar Patrappa Road, Nagarathpete, Bengaluru"
Central Tools and Engineering Stores,12.9648866,77.5807561,4.7,76,"49/2, Sadar Patrappa Road, Bengaluru"
Nilgiris Supermarket,12.9658863,77.61443349999999,3.8,863,"3, Palmgrove Road, Victoria Layout, Bengaluru"
All Saints Stores & Bakery,12.9668154,77.6067963,4.2,1114,"Ground Floor, #126/2, next to Hotel Vellara, Brigade Road, Bengaluru"
Nature's Basket,12.9621275,77.6017103,4.0,635,"Park End, 13, Rhenius Street, Richmond Town, Bengaluru"
SUPER MARKET,12.9728862,77.6074235,3.8,71,"XJF4+5X3, Brigade Road, Bengaluru"
More Supermarket - V V Puram Bengaluru,12.9513151,77.5765805,3.7,1322,"48, Vasavi Temple Street, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru"
Fatima Bakery & Super Market,12.9668815,77.60932559999999,3.9,897,"opp. Narayana Nethralaya, 41, Castle Street, 2nd Block, Ashok Nagar, Bengaluru"
HOPCOMS Cubbon Park Corporation Circle,12.9719954,77.5936226,4.0,10,"Cupboard Park, Corporation Circle, Sampangi Rama Nagara, Bengaluru"
Ratnadeep Supermarket,12.9673471,77.59713789999999,3.2,43,"K.M.Cariappa Road, Richmond Road, Bengaluru"
SLS LUCH HOME,12.9665667,77.5943989,3.0,4,"1st, main srnagar, behind hotel ramanashree, 2, T Nanjundappa Road, Bengaluru"
Woodlands General Stores,12.9658412,77.5946214,2.0,3,"10, 8th Cross Road, Sampangi Rama Nagara, Sampangi Rama Nagar, Bengaluru"
Vegetable,12.9658413,77.5924393,0.0,0,"27, 8th Cross Rd, Sampangi Rama Nagara, 4th Main Road, S.r Naga, Sampangi Rama Nagar, Bengaluru"
Vaibhav Cloth Store,12.9765943,77.5992706,0.0,0,"Shop No 67, near Bus Stand, Kerur, Bengaluru"
JAY MAA LAXMI TRADING,12.9753386,77.5877318,0.0,0,"77, Main Road, Nunegundlapalli, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru"
Deepa Enterprises,12.9818187,77.5946251,0.0,0,"Bilpura Madai, Jabalpur"
R K TILES AND SANITARY,12.981887,77.594504,0.0,0,"Vijay Nagar Pachauli Road, Etawah"
Sandilya Producuction,12.981887,77.594504,0.0,0,"Sandilya Production, Manjhauli Dharma Dash"
Jeen Maa Laser Service,12.9818902,77.594504,0.0,0,"Jeen Maa Laser Service, Churi Wala Dhanna, Bengaluru"
Sanjeev Kumar,12.9818906,77.594504,0.0,0,"Asawar, Gulaothi Rod, Bulandshahr"
Neelam Grocery Shop,12.9818909,77.594504,0.0,0,"00, Payagpur Road, Bahraich"
MAULI PROVISION,12.9818922,77.594504,0.0,0,"Shop No 1, Takali"
G.S Works,12.9818922,77.594504,0.0,0,Harichand
Amdadul Store,12.9818922,77.594504,0.0,0,Tarabari
Narnala A P C,12.9818922,77.594504,0.0,0,"K V Akola, 1 P, Akola"
Deepanshu Soni,12.9818922,77.594504,0.0,0,"Sarafa Bazar, Muzaffarnagar"
Pavan Marketing,12.9680065,77.5839941,5.0,1,"C-141, Ganigarpet, Nagarathpete, Bengaluru"
ALANKAR(GIFTS AND COSMETICS),12.9604475,77.59811110000001,3.7,341,"9, 5th Cross Road, Bheemanna Garden, Lakshmiamma Garden, Shanti Nagar, Bengaluru"
Sapna Mini Store,12.9601305,77.5978441,4.0,42,"52/1, 5th Cross Road, Bheemanna Garden, Lakshmiamma Garden, Shanti Nagar, Bengaluru"
Selec Hypermart,12.972784,77.6073412,4.6,362,"54, Monarch Plaza, Brigade Road, Bengaluru"
MahaBazaar Brigade Road,12.9728156,77.6073782,4.4,36,"#57/1 Monarch Plaza Brigade Road, Off, Mahatma Gandhi Road, Bengaluru"
Buymykart,12.9736432,77.60746750000001,3.0,2,"XJF4+FX4, Brigade Road, Bengaluru"
Rajshekar Nivas (Bobby Store),12.9669024,77.58237059999999,4.8,8,"25, Karpur Adam Saheb Lane, Ganigarpet, Nagarathpete, Bengaluru"
Grand super Mart,12.9591602,77.5980141,4.1,232,"16, 5th Cross, Shanthinagar, Lakshmi Road, Bengaluru"
MOTI SUPER MART,12.9657791,77.58278969999999,0.0,0,"29, Nagarathpet Main Road, Bengaluru"
Family Shopping Mart,12.9796958,77.60520559999999,4.1,48,"101, Infantry Road, Tasker Town, Sampangi Rama Nagar, Bengaluru"
Raj lakshmi provision store,12.9663399,77.58196199999999,0.0,0,"near paras jewellers, 935 adsham lane, cross Road, Nagarathpete, Bengaluru"
Food Boutique,12.9794637,77.60593899999999,0.0,0,"17, 92, Enjay Ventures, Kedia Arcade, Ground Floor, Infantry Road, Near-Gem Plaza, Shivaji Nagar, Bengaluru"
Karnataka Co-Operative Oilseeds Growers Federation Limited (KOF),12.9807778,77.6051792,4.7,19,"11, 4th Floor, Blue Cross Chambers, Infantry Road Cross, Bengaluru"
Welcome Mart,12.9595523,77.6015602,5.0,3,"7/1, Shanti Nagar Main Road, Langford Town, Shanti Nagar, Bengaluru"
Fresh Signature,12.985457,77.594492,3.9,274,"PID No-19, Mahanagara Palika;BBMP, 86, 2-86, 3rd stage, 2nd Block Ba, Bruhat, Bengaluru"
Family Shopping Mart Langford Road,12.9597078,77.6019731,4.2,406,"15, Langford Road, Langford Town, Richmond Town, Bengaluru"
RSI Canteen,12.9751709,77.6085837,4.5,548,"XJG5+3C8, Cubbon Road, FM Cariappa Colony, Sivanchetti Gardens, Bengaluru"
Olive Super Market,12.969282,77.6089595,2.0,2,"#35, Markham Road, Ashok Nagar, Bengaluru"
BALAJI PLASTICS,12.970271,77.57954269999999,0.0,0,"1 Balapur Market, Rangaswamy Temple Street, Bengaluru"
ebuy sell rent,12.9642445,77.58122089999999,0.0,0,"K S Lane, Silver Jubilee Park Road, S J, P K, R Market, Bengaluru"
Shree Ramdev Steel Furniture and Steel Hardware Sujalpur Mandi,12.9745735,77.60967839999999,0.0,0,"XJF5+RVF, Mahatma Gandhi Road, Bengaluru"
Industrial Tooling Solutions,12.9631922,77.58157109999999,0.0,0,"4th Floor, 66, Narasimharaja Road, Bengaluru"
The Organic World - Cunningham Road,12.986871,77.59478299999999,4.4,224,"Shah Sultan Complex, Cunningham Road, Vasanth Nagar, Bengaluru"
SAIF ENTERPRISES,12.9654197,77.5802278,5.0,5,"40, Sadar Patrappa Road, Dodpete, Nagarathpete, Bengaluru"
Screw Bazar,12.9649848,77.5803844,5.0,54,"1st Floor, RK Mansion, 124/1, Venkataramana Naik Lane, S.P Road Cross, Kumbarpet, Dodpete, Nagarathpete, Bengaluru"
V.p Industrial Suppliers,12.9649828,77.58032229999999,5.0,22,"1st Floor, Dr, Belagodu Complex, 40/3, Sadar Patrappa Road, Bengaluru"
